,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,1.731327000225514e-10
2,NSLV-C,C45-C,0.1637512811668963
3,NSLV-C,C45Rules-C,0.0009748630579687281
4,NSLV-C,C45RulesSA-C,0.0023422186241861096
5,NSLV-C,DT_GA-C,0.06491217568050431
6,NSLV-C,DT_Oblique-C,7.255953026457285e-10
7,NSLV-C,EACH-C,1.9939829755387005e-15
8,NSLV-C,GPR,0.7801787399531452
9,NSLV-C,Hider-C,0.006519532588715335
10,NSLV-C,OCEC-C,1.6244705401228635e-05
11,NSLV-C,OIGA-C,0.9746996122738556
12,NSLV-C,PGIRLA-C,9.843464276423992e-05
13,NSLV-C,Ripper-C,8.677349022487708e-11
14,NSLV-C,SLAVE2-C,0.15461227915173564
15,NSLV-C,SLAVEv0-C,0.0006346976792861222
