,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,0.03208375361530098
2,OCEC-C,C45-C,0.00336209369214401
3,OCEC-C,C45Rules-C,0.053964873841708096
4,OCEC-C,C45RulesSA-C,0.0701125378555594
5,OCEC-C,DT_GA-C,0.0042238776518880505
6,OCEC-C,DT_Oblique-C,0.20838792822280428
7,OCEC-C,EACH-C,1.1008412312090361e-07
8,OCEC-C,GPR,1.3491410210785015e-05
9,OCEC-C,Hider-C,0.11556343223870774
10,OCEC-C,NSLV-C,1.6244705401228635e-05
11,OCEC-C,OIGA-C,8.356083016270923e-05
12,OCEC-C,PGIRLA-C,0.19917523263162806
13,OCEC-C,Ripper-C,0.0504554276453277
14,OCEC-C,SLAVE2-C,0.0005505002034511312
15,OCEC-C,SLAVEv0-C,0.027605544619969474
