,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,4.3931269912216283e-10
2,OIGA-C,C45-C,0.10407830056774639
3,OIGA-C,C45Rules-C,0.001631459432427169
4,OIGA-C,C45RulesSA-C,0.011229567052041504
5,OIGA-C,DT_GA-C,0.09893946523132927
6,OIGA-C,DT_Oblique-C,4.722084122597173e-08
7,OIGA-C,EACH-C,1.871349035993884e-14
8,OIGA-C,GPR,0.8192310236320743
9,OIGA-C,Hider-C,0.0022811325549147183
10,OIGA-C,NSLV-C,0.9746996122738556
11,OIGA-C,OCEC-C,8.356083016270923e-05
12,OIGA-C,PGIRLA-C,3.472235620161149e-05
13,OIGA-C,Ripper-C,6.036294792168611e-09
14,OIGA-C,SLAVE2-C,0.2781897068726724
15,OIGA-C,SLAVEv0-C,0.017292578820580055
