,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.15741695503402775
2,PGIRLA-C,C45-C,0.0005245486063408138
3,PGIRLA-C,C45Rules-C,0.04220889490968986
4,PGIRLA-C,C45RulesSA-C,0.031210324765153747
5,PGIRLA-C,DT_GA-C,0.00023747394367065874
6,PGIRLA-C,DT_Oblique-C,0.9945746528765271
7,PGIRLA-C,EACH-C,0.000668696150298374
8,PGIRLA-C,GPR,0.00010031581058577877
9,PGIRLA-C,Hider-C,0.006837893288852983
10,PGIRLA-C,NSLV-C,9.843464276423992e-05
11,PGIRLA-C,OCEC-C,0.19917523263162806
12,PGIRLA-C,OIGA-C,3.472235620161149e-05
13,PGIRLA-C,Ripper-C,0.48965242387453745
14,PGIRLA-C,SLAVE2-C,0.0057258913443960485
15,PGIRLA-C,SLAVEv0-C,0.08404884391562703
