,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,0.5851982433132286
2,Ripper-C,C45-C,5.667762493042634e-07
3,Ripper-C,C45Rules-C,0.0005581021914804245
4,Ripper-C,C45RulesSA-C,0.00038408487391547425
5,Ripper-C,DT_GA-C,2.279312905480692e-06
6,Ripper-C,DT_Oblique-C,0.2872297584072858
7,Ripper-C,EACH-C,1.026147526517471e-05
8,Ripper-C,GPR,6.959570794906632e-08
9,Ripper-C,Hider-C,0.0034263392649027044
10,Ripper-C,NSLV-C,8.677349022487708e-11
11,Ripper-C,OCEC-C,0.0504554276453277
12,Ripper-C,OIGA-C,6.036294792168611e-09
13,Ripper-C,PGIRLA-C,0.48965242387453745
14,Ripper-C,SLAVE2-C,1.8184302220216193e-07
15,Ripper-C,SLAVEv0-C,5.1710577690386255e-05
