,1R-C,Algorithm,p-value
1,1R-C,C45-C,3.0366419781318257e-05
2,1R-C,C45Rules-C,0.17790932972173668
3,1R-C,C45RulesSA-C,0.11837063808297375
4,1R-C,DT_GA-C,6.228247831778561e-07
5,1R-C,DT_Oblique-C,0.22546292232945764
6,1R-C,EACH-C,0.7016950643417978
7,1R-C,GPR,3.619011379175529e-07
8,1R-C,Hider-C,3.3253580676377704e-05
9,1R-C,NSLV-C,2.4898970946838285e-05
10,1R-C,OCEC-C,0.22153679571200857
11,1R-C,OIGA-C,8.747588077197679e-13
12,1R-C,PGIRLA-C,2.0131981533616878e-06
13,1R-C,Ripper-C,0.6015426024258681
14,1R-C,SLAVE2-C,0.00012511004328814954
15,1R-C,SLAVEv0-C,0.004556510356750284
