,C45-C,Algorithm,p-value
1,C45-C,1R-C,3.0366419781318257e-05
2,C45-C,C45Rules-C,4.839112313244798e-05
3,C45-C,C45RulesSA-C,0.00036837259919112196
4,C45-C,DT_GA-C,0.0413950641918209
5,C45-C,DT_Oblique-C,1.4173597383142327e-05
6,C45-C,EACH-C,0.004547558071568351
7,C45-C,GPR,0.3191035537298168
8,C45-C,Hider-C,0.3124869399940926
9,C45-C,NSLV-C,0.9182726022415681
10,C45-C,OCEC-C,0.0003956912755636463
11,C45-C,OIGA-C,6.910878916464448e-05
12,C45-C,PGIRLA-C,0.050005891750048874
13,C45-C,Ripper-C,1.4347762679068932e-07
14,C45-C,SLAVE2-C,0.7864026674826403
15,C45-C,SLAVEv0-C,0.3870993504707818
