,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,0.17790932972173668
2,C45Rules-C,C45-C,4.839112313244798e-05
3,C45Rules-C,C45RulesSA-C,0.19224455652751027
4,C45Rules-C,DT_GA-C,1.4927039167394053e-06
5,C45Rules-C,DT_Oblique-C,0.27740366293793883
6,C45Rules-C,EACH-C,0.01991904229042383
7,C45Rules-C,GPR,5.618415372111834e-05
8,C45Rules-C,Hider-C,0.0001605392538704116
9,C45Rules-C,NSLV-C,0.0002555578654191334
10,C45Rules-C,OCEC-C,0.45112571796329504
11,C45Rules-C,OIGA-C,1.7729594957717797e-09
12,C45Rules-C,PGIRLA-C,8.76450543714464e-07
13,C45Rules-C,Ripper-C,5.1079731373300305e-05
14,C45Rules-C,SLAVE2-C,0.00024049983298519447
15,C45Rules-C,SLAVEv0-C,0.0034635727247791814
