,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,0.11837063808297375
2,C45RulesSA-C,C45-C,0.00036837259919112196
3,C45RulesSA-C,C45Rules-C,0.19224455652751027
4,C45RulesSA-C,DT_GA-C,8.644172894464513e-05
5,C45RulesSA-C,DT_Oblique-C,0.042204118663401055
6,C45RulesSA-C,EACH-C,0.005380788245682572
7,C45RulesSA-C,GPR,0.00016366569817898046
8,C45RulesSA-C,Hider-C,0.0004419495355621086
9,C45RulesSA-C,NSLV-C,0.00040416315234340826
10,C45RulesSA-C,OCEC-C,0.24744117234090546
11,C45RulesSA-C,OIGA-C,6.829827491156179e-09
12,C45RulesSA-C,PGIRLA-C,6.114463153255945e-06
13,C45RulesSA-C,Ripper-C,1.110473639301321e-06
14,C45RulesSA-C,SLAVE2-C,0.0014315356798547843
15,C45RulesSA-C,SLAVEv0-C,0.024170705910089307
