,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,0.22546292232945764
2,DT_Oblique-C,C45-C,1.4173597383142327e-05
3,DT_Oblique-C,C45Rules-C,0.27740366293793883
4,DT_Oblique-C,C45RulesSA-C,0.042204118663401055
5,DT_Oblique-C,DT_GA-C,8.887234458870008e-06
6,DT_Oblique-C,EACH-C,0.011661194877512628
7,DT_Oblique-C,GPR,1.0141174368850782e-06
8,DT_Oblique-C,Hider-C,7.667705381112139e-06
9,DT_Oblique-C,NSLV-C,1.5682721291423568e-05
10,DT_Oblique-C,OCEC-C,0.9232993844548713
11,DT_Oblique-C,OIGA-C,3.8249935958448124e-10
12,DT_Oblique-C,PGIRLA-C,8.92027999240716e-08
13,DT_Oblique-C,Ripper-C,7.250530482056584e-05
14,DT_Oblique-C,SLAVE2-C,3.1641469966503936e-05
15,DT_Oblique-C,SLAVEv0-C,0.000709802254783129
