,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.7016950643417978
2,EACH-C,C45-C,0.004547558071568351
3,EACH-C,C45Rules-C,0.01991904229042383
4,EACH-C,C45RulesSA-C,0.005380788245682572
5,EACH-C,DT_GA-C,0.0029045947590070754
6,EACH-C,DT_Oblique-C,0.011661194877512628
7,EACH-C,GPR,0.004004913378341365
8,EACH-C,Hider-C,0.0013381277591626934
9,EACH-C,NSLV-C,0.0032313396810611087
10,EACH-C,OCEC-C,0.004164908635741544
11,EACH-C,OIGA-C,8.101550498653719e-05
12,EACH-C,PGIRLA-C,4.355801565922037e-05
13,EACH-C,Ripper-C,0.17147852684104825
14,EACH-C,SLAVE2-C,0.0014050246764865067
15,EACH-C,SLAVEv0-C,0.008707700474928807
