,GPR,Algorithm,p-value
1,GPR,1R-C,3.619011379175529e-07
2,GPR,C45-C,0.3191035537298168
3,GPR,C45Rules-C,5.618415372111834e-05
4,GPR,C45RulesSA-C,0.00016366569817898046
5,GPR,DT_GA-C,0.8858479859200566
6,GPR,DT_Oblique-C,1.0141174368850782e-06
7,GPR,EACH-C,0.004004913378341365
8,GPR,Hider-C,0.542458554214482
9,GPR,NSLV-C,0.1440906098624253
10,GPR,OCEC-C,0.00010898561803163944
11,GPR,OIGA-C,0.00018129006751992947
12,GPR,PGIRLA-C,0.9596194331461185
13,GPR,Ripper-C,1.856017183976975e-08
14,GPR,SLAVE2-C,0.32403149947074794
15,GPR,SLAVEv0-C,0.054148055721818515
