,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,3.3253580676377704e-05
2,Hider-C,C45-C,0.3124869399940926
3,Hider-C,C45Rules-C,0.0001605392538704116
4,Hider-C,C45RulesSA-C,0.0004419495355621086
5,Hider-C,DT_GA-C,0.7514144659414667
6,Hider-C,DT_Oblique-C,7.667705381112139e-06
7,Hider-C,EACH-C,0.0013381277591626934
8,Hider-C,GPR,0.542458554214482
9,Hider-C,NSLV-C,0.27375816708025713
10,Hider-C,OCEC-C,0.0001943551298226837
11,Hider-C,OIGA-C,7.990261430894464e-05
12,Hider-C,PGIRLA-C,0.8298316128832315
13,Hider-C,Ripper-C,1.2645102635351718e-07
14,Hider-C,SLAVE2-C,0.349965631454086
15,Hider-C,SLAVEv0-C,0.02644086510736375
