,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,2.4898970946838285e-05
2,NSLV-C,C45-C,0.9182726022415681
3,NSLV-C,C45Rules-C,0.0002555578654191334
4,NSLV-C,C45RulesSA-C,0.00040416315234340826
5,NSLV-C,DT_GA-C,0.3746076768493989
6,NSLV-C,DT_Oblique-C,1.5682721291423568e-05
7,NSLV-C,EACH-C,0.0032313396810611087
8,NSLV-C,GPR,0.1440906098624253
9,NSLV-C,Hider-C,0.27375816708025713
10,NSLV-C,OCEC-C,4.883366952416256e-05
11,NSLV-C,OIGA-C,5.970809641198842e-08
12,NSLV-C,PGIRLA-C,0.4733925467744654
13,NSLV-C,Ripper-C,7.434170430180131e-08
14,NSLV-C,SLAVE2-C,0.7493390535986648
15,NSLV-C,SLAVEv0-C,0.26514782955428806
