,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,8.747588077197679e-13
2,OIGA-C,C45-C,6.910878916464448e-05
3,OIGA-C,C45Rules-C,1.7729594957717797e-09
4,OIGA-C,C45RulesSA-C,6.829827491156179e-09
5,OIGA-C,DT_GA-C,0.001411885008119915
6,OIGA-C,DT_Oblique-C,3.8249935958448124e-10
7,OIGA-C,EACH-C,8.101550498653719e-05
8,OIGA-C,GPR,0.00018129006751992947
9,OIGA-C,Hider-C,7.990261430894464e-05
10,OIGA-C,NSLV-C,5.970809641198842e-08
11,OIGA-C,OCEC-C,1.1344463655752857e-09
12,OIGA-C,PGIRLA-C,0.0004318773107663317
13,OIGA-C,Ripper-C,4.36998868385769e-11
14,OIGA-C,SLAVE2-C,6.678462030405398e-07
15,OIGA-C,SLAVEv0-C,9.699418167786606e-10
