,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,2.0131981533616878e-06
2,PGIRLA-C,C45-C,0.050005891750048874
3,PGIRLA-C,C45Rules-C,8.76450543714464e-07
4,PGIRLA-C,C45RulesSA-C,6.114463153255945e-06
5,PGIRLA-C,DT_GA-C,0.831270211121728
6,PGIRLA-C,DT_Oblique-C,8.92027999240716e-08
7,PGIRLA-C,EACH-C,4.355801565922037e-05
8,PGIRLA-C,GPR,0.9596194331461185
9,PGIRLA-C,Hider-C,0.8298316128832315
10,PGIRLA-C,NSLV-C,0.4733925467744654
11,PGIRLA-C,OCEC-C,8.216006673576568e-06
12,PGIRLA-C,OIGA-C,0.0004318773107663317
13,PGIRLA-C,Ripper-C,3.807086035823961e-10
14,PGIRLA-C,SLAVE2-C,0.850335104295388
15,PGIRLA-C,SLAVEv0-C,0.12743041216492065
