,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,0.6015426024258681
2,Ripper-C,C45-C,1.4347762679068932e-07
3,Ripper-C,C45Rules-C,5.1079731373300305e-05
4,Ripper-C,C45RulesSA-C,1.110473639301321e-06
5,Ripper-C,DT_GA-C,6.55803971905157e-09
6,Ripper-C,DT_Oblique-C,7.250530482056584e-05
7,Ripper-C,EACH-C,0.17147852684104825
8,Ripper-C,GPR,1.856017183976975e-08
9,Ripper-C,Hider-C,1.2645102635351718e-07
10,Ripper-C,NSLV-C,7.434170430180131e-08
11,Ripper-C,OCEC-C,1.073014274397766e-05
12,Ripper-C,OIGA-C,4.36998868385769e-11
13,Ripper-C,PGIRLA-C,3.807086035823961e-10
14,Ripper-C,SLAVE2-C,6.446142878476617e-08
15,Ripper-C,SLAVEv0-C,8.893710747107324e-06
