,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,0.00012511004328814954
2,SLAVE2-C,C45-C,0.7864026674826403
3,SLAVE2-C,C45Rules-C,0.00024049983298519447
4,SLAVE2-C,C45RulesSA-C,0.0014315356798547843
5,SLAVE2-C,DT_GA-C,0.3684386594575376
6,SLAVE2-C,DT_Oblique-C,3.1641469966503936e-05
7,SLAVE2-C,EACH-C,0.0014050246764865067
8,SLAVE2-C,GPR,0.32403149947074794
9,SLAVE2-C,Hider-C,0.349965631454086
10,SLAVE2-C,NSLV-C,0.7493390535986648
11,SLAVE2-C,OCEC-C,1.6057223864023333e-05
12,SLAVE2-C,OIGA-C,6.678462030405398e-07
13,SLAVE2-C,PGIRLA-C,0.850335104295388
14,SLAVE2-C,Ripper-C,6.446142878476617e-08
15,SLAVE2-C,SLAVEv0-C,0.01365105749498575
