,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,0.004556510356750284
2,SLAVEv0-C,C45-C,0.3870993504707818
3,SLAVEv0-C,C45Rules-C,0.0034635727247791814
4,SLAVEv0-C,C45RulesSA-C,0.024170705910089307
5,SLAVEv0-C,DT_GA-C,0.04442957746567352
6,SLAVEv0-C,DT_Oblique-C,0.000709802254783129
7,SLAVEv0-C,EACH-C,0.008707700474928807
8,SLAVEv0-C,GPR,0.054148055721818515
9,SLAVEv0-C,Hider-C,0.02644086510736375
10,SLAVEv0-C,NSLV-C,0.26514782955428806
11,SLAVEv0-C,OCEC-C,0.002148128064347281
12,SLAVEv0-C,OIGA-C,9.699418167786606e-10
13,SLAVEv0-C,PGIRLA-C,0.12743041216492065
14,SLAVEv0-C,Ripper-C,8.893710747107324e-06
15,SLAVEv0-C,SLAVE2-C,0.01365105749498575
