,C45-C,Algorithm,p-value
1,C45-C,1R-C,0.0003507024630288831
2,C45-C,C45Rules-C,4.612707856970419e-06
3,C45-C,C45RulesSA-C,5.3919602289524105e-05
4,C45-C,DT_GA-C,0.28289852567908946
5,C45-C,DT_Oblique-C,9.946456577568727e-10
6,C45-C,EACH-C,0.12177943319590474
7,C45-C,GPR,0.3370082064646496
8,C45-C,Hider-C,0.04545804542451511
9,C45-C,NSLV-C,0.560399015509053
10,C45-C,OCEC-C,8.663461460692953e-08
11,C45-C,OIGA-C,6.691477918869948e-06
12,C45-C,PGIRLA-C,0.11004630893699337
13,C45-C,Ripper-C,4.9113721561964e-13
14,C45-C,SLAVE2-C,0.30762970182352034
15,C45-C,SLAVEv0-C,0.9695018063080884
