,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,0.47965677822213737
2,C45RulesSA-C,C45-C,5.3919602289524105e-05
3,C45RulesSA-C,C45Rules-C,0.4297026510011921
4,C45RulesSA-C,DT_GA-C,2.051897037646608e-05
5,C45RulesSA-C,DT_Oblique-C,0.00434683686628877
6,C45RulesSA-C,EACH-C,0.36567735007533386
7,C45RulesSA-C,GPR,3.555902780067675e-05
8,C45RulesSA-C,Hider-C,5.72143473170219e-07
9,C45RulesSA-C,NSLV-C,0.00012835366646268468
10,C45RulesSA-C,OCEC-C,0.012286055433183715
11,C45RulesSA-C,OIGA-C,2.2057240078438057e-09
12,C45RulesSA-C,PGIRLA-C,1.953235440021701e-06
13,C45RulesSA-C,Ripper-C,1.082395536289547e-10
14,C45RulesSA-C,SLAVE2-C,7.674366549587712e-05
15,C45RulesSA-C,SLAVEv0-C,0.0004926050449137887
