,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,3.089089294718478e-05
2,NSLV-C,C45-C,0.560399015509053
3,NSLV-C,C45Rules-C,1.508688639938549e-05
4,NSLV-C,C45RulesSA-C,0.00012835366646268468
5,NSLV-C,DT_GA-C,0.6612327638357294
6,NSLV-C,DT_Oblique-C,8.67228408760925e-09
7,NSLV-C,EACH-C,0.07757745424921987
8,NSLV-C,GPR,0.5847740478750598
9,NSLV-C,Hider-C,0.05509474406018673
10,NSLV-C,OCEC-C,2.475136310770035e-08
11,NSLV-C,OIGA-C,3.138873182357558e-07
12,NSLV-C,PGIRLA-C,0.5763456976650378
13,NSLV-C,Ripper-C,1.1377919137542787e-12
14,NSLV-C,SLAVE2-C,0.4361203725525963
15,NSLV-C,SLAVEv0-C,0.34187686156415376
