,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,2.5514578741811883e-07
2,PGIRLA-C,C45-C,0.11004630893699337
3,PGIRLA-C,C45Rules-C,3.948573384976138e-07
4,PGIRLA-C,C45RulesSA-C,1.953235440021701e-06
5,PGIRLA-C,DT_GA-C,0.3497752882123282
6,PGIRLA-C,DT_Oblique-C,9.079351366368226e-11
7,PGIRLA-C,EACH-C,0.008436695372209773
8,PGIRLA-C,GPR,0.7363639972404707
9,PGIRLA-C,Hider-C,0.7477225529871607
10,PGIRLA-C,NSLV-C,0.5763456976650378
11,PGIRLA-C,OCEC-C,2.9235916386707e-09
12,PGIRLA-C,OIGA-C,0.0029286826923702646
13,PGIRLA-C,Ripper-C,1.52459555700077e-14
14,PGIRLA-C,SLAVE2-C,0.8992441496168495
15,PGIRLA-C,SLAVEv0-C,0.253673307708033
