,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,2.6338565011011953e-05
2,SLAVE2-C,C45-C,0.30762970182352034
3,SLAVE2-C,C45Rules-C,1.1465521163456911e-05
4,SLAVE2-C,C45RulesSA-C,7.674366549587712e-05
5,SLAVE2-C,DT_GA-C,0.9125070883022511
6,SLAVE2-C,DT_Oblique-C,5.988693797976877e-09
7,SLAVE2-C,EACH-C,0.052112141072649
8,SLAVE2-C,GPR,0.9494634696036622
9,SLAVE2-C,Hider-C,0.4202808107942392
10,SLAVE2-C,NSLV-C,0.4361203725525963
11,SLAVE2-C,OCEC-C,2.3974095513823057e-08
12,SLAVE2-C,OIGA-C,4.4602276902333695e-05
13,SLAVE2-C,PGIRLA-C,0.8992441496168495
14,SLAVE2-C,Ripper-C,8.28242826815028e-13
15,SLAVE2-C,SLAVEv0-C,0.011496768902604804
