,C45-C,Algorithm,p-value
1,C45-C,1R-C,0.012374939995237448
2,C45-C,C45Rules-C,8.76385459536961e-06
3,C45-C,C45RulesSA-C,2.4878304163100188e-05
4,C45-C,DT_GA-C,0.053588348335876446
5,C45-C,DT_Oblique-C,0.7596028417731461
6,C45-C,EACH-C,0.041894459996952904
7,C45-C,GPR,0.48626091430480367
8,C45-C,Hider-C,0.00012584040761386158
9,C45-C,NSLV-C,0.5191885239143381
10,C45-C,OCEC-C,0.005200321728412119
11,C45-C,OIGA-C,0.00016300217274988588
12,C45-C,PGIRLA-C,0.0001324985047961171
13,C45-C,Ripper-C,1.3082275411417388e-11
14,C45-C,SLAVE2-C,0.4883825275038547
15,C45-C,SLAVEv0-C,0.11833053791370893
