,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,1.3304884542567737e-05
2,C45Rules-C,C45-C,8.76385459536961e-06
3,C45Rules-C,C45RulesSA-C,0.7273072224847821
4,C45Rules-C,DT_GA-C,4.058953335065575e-08
5,C45Rules-C,DT_Oblique-C,0.0010620043565919568
6,C45Rules-C,EACH-C,0.0024707023596248277
7,C45Rules-C,GPR,0.0001952611248226432
8,C45Rules-C,Hider-C,4.257835574475354e-09
9,C45Rules-C,NSLV-C,0.0008854456733934617
10,C45Rules-C,OCEC-C,0.7046392473808696
11,C45Rules-C,OIGA-C,1.73888393853763e-08
12,C45Rules-C,PGIRLA-C,8.243095248862834e-11
13,C45Rules-C,Ripper-C,1.8635644464707416e-06
14,C45Rules-C,SLAVE2-C,9.510429583309144e-05
15,C45Rules-C,SLAVEv0-C,2.6804167446204147e-06
