,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,0.19040520599677924
2,DT_GA-C,C45-C,0.053588348335876446
3,DT_GA-C,C45Rules-C,4.058953335065575e-08
4,DT_GA-C,C45RulesSA-C,5.011863483206683e-06
5,DT_GA-C,DT_Oblique-C,0.12519205793697322
6,DT_GA-C,EACH-C,0.1100094055422806
7,DT_GA-C,GPR,0.615095350894403
8,DT_GA-C,Hider-C,0.010892423413586257
9,DT_GA-C,NSLV-C,0.04082925688918052
10,DT_GA-C,OCEC-C,0.00021233539345301346
11,DT_GA-C,OIGA-C,0.009686356435152492
12,DT_GA-C,PGIRLA-C,0.005803331772261773
13,DT_GA-C,Ripper-C,2.216455399759197e-12
14,DT_GA-C,SLAVE2-C,0.6348672352460134
15,DT_GA-C,SLAVEv0-C,0.7671871404487659
