,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.3418594509196107
2,EACH-C,C45-C,0.041894459996952904
3,EACH-C,C45Rules-C,0.0024707023596248277
4,EACH-C,C45RulesSA-C,0.005800348008812989
5,EACH-C,DT_GA-C,0.1100094055422806
6,EACH-C,DT_Oblique-C,0.0267889196664035
7,EACH-C,GPR,0.022651813249924966
8,EACH-C,Hider-C,0.5857006620634602
9,EACH-C,NSLV-C,0.006302995731970286
10,EACH-C,OCEC-C,0.016258689446252358
11,EACH-C,OIGA-C,0.29201544877915075
12,EACH-C,PGIRLA-C,0.12747085897052418
13,EACH-C,Ripper-C,7.617642169616508e-06
14,EACH-C,SLAVE2-C,0.019158831732450615
15,EACH-C,SLAVEv0-C,0.05044176699494258
