,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,0.006526038567750868
2,NSLV-C,C45-C,0.5191885239143381
3,NSLV-C,C45Rules-C,0.0008854456733934617
4,NSLV-C,C45RulesSA-C,0.0024869805839762304
5,NSLV-C,DT_GA-C,0.04082925688918052
6,NSLV-C,DT_Oblique-C,0.9823312004940015
7,NSLV-C,EACH-C,0.006302995731970286
8,NSLV-C,GPR,0.2498176729215147
9,NSLV-C,Hider-C,0.0001243154923545886
10,NSLV-C,OCEC-C,0.02748985627602375
11,NSLV-C,OIGA-C,2.924389534148461e-06
12,NSLV-C,PGIRLA-C,0.001319264420147259
13,NSLV-C,Ripper-C,4.3499266211429327e-08
14,NSLV-C,SLAVE2-C,0.07352398166040788
15,NSLV-C,SLAVEv0-C,0.0053632632944287835
