,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,0.1307030476763162
2,OIGA-C,C45-C,0.00016300217274988588
3,OIGA-C,C45Rules-C,1.73888393853763e-08
4,OIGA-C,C45RulesSA-C,9.995876294893217e-08
5,OIGA-C,DT_GA-C,0.009686356435152492
6,OIGA-C,DT_Oblique-C,0.0002501714519527427
7,OIGA-C,EACH-C,0.29201544877915075
8,OIGA-C,GPR,0.0006498460483248233
9,OIGA-C,Hider-C,0.7386603798031228
10,OIGA-C,NSLV-C,2.924389534148461e-06
11,OIGA-C,OCEC-C,7.181385964543812e-07
12,OIGA-C,PGIRLA-C,0.5847298700650556
13,OIGA-C,Ripper-C,3.896043371394589e-12
14,OIGA-C,SLAVE2-C,0.002205520975412129
15,OIGA-C,SLAVEv0-C,0.00303453742377497
