,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,0.275734091092832
2,SLAVEv0-C,C45-C,0.11833053791370893
3,SLAVEv0-C,C45Rules-C,2.6804167446204147e-06
4,SLAVEv0-C,C45RulesSA-C,8.36985386668863e-06
5,SLAVEv0-C,DT_GA-C,0.7671871404487659
6,SLAVEv0-C,DT_Oblique-C,0.06670925488627195
7,SLAVEv0-C,EACH-C,0.05044176699494258
8,SLAVEv0-C,GPR,0.31157644878077906
9,SLAVEv0-C,Hider-C,0.007573064915255566
10,SLAVEv0-C,NSLV-C,0.0053632632944287835
11,SLAVEv0-C,OCEC-C,3.131791734393819e-05
12,SLAVEv0-C,OIGA-C,0.00303453742377497
13,SLAVEv0-C,PGIRLA-C,0.05611355218028089
14,SLAVEv0-C,Ripper-C,7.844445754418662e-10
15,SLAVEv0-C,SLAVE2-C,0.4063586454930319
