,1R-C,Algorithm,p-value
1,1R-C,C45-C,3.2778916467776015e-09
2,1R-C,C45Rules-C,8.96827852326687e-11
3,1R-C,C45RulesSA-C,2.3899953679942823e-10
4,1R-C,DT_GA-C,3.6852419907806664e-08
5,1R-C,DT_Oblique-C,5.477843192373101e-08
6,1R-C,EACH-C,0.9011892614792023
7,1R-C,GPR,4.710565746191927e-09
8,1R-C,Hider-C,0.0002246947514195234
9,1R-C,NSLV-C,2.3109803101544715e-11
10,1R-C,OCEC-C,1.4224779235505157e-08
11,1R-C,OIGA-C,6.942652157871926e-06
12,1R-C,PGIRLA-C,0.30235349106577836
13,1R-C,Ripper-C,6.571079943408456e-12
14,1R-C,SLAVE2-C,5.854800680536451e-09
15,1R-C,SLAVEv0-C,1.790982109393639e-07
