,C45-C,Algorithm,p-value
1,C45-C,1R-C,3.2778916467776015e-09
2,C45-C,C45Rules-C,0.021996564008014738
3,C45-C,C45RulesSA-C,0.037568527564029945
4,C45-C,DT_GA-C,0.13544689783710256
5,C45-C,DT_Oblique-C,0.06756130885465031
6,C45-C,EACH-C,2.4213159445376574e-07
7,C45-C,GPR,0.8708815653579256
8,C45-C,Hider-C,0.009058167592701998
9,C45-C,NSLV-C,0.5439164810233095
10,C45-C,OCEC-C,0.606433658217453
11,C45-C,OIGA-C,0.042895984462187835
12,C45-C,PGIRLA-C,0.00010657963220020522
13,C45-C,Ripper-C,0.034674427924476454
14,C45-C,SLAVE2-C,0.7793597868109708
15,C45-C,SLAVEv0-C,0.04500215749875138
