,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,8.96827852326687e-11
2,C45Rules-C,C45-C,0.021996564008014738
3,C45Rules-C,C45RulesSA-C,0.41158855382590986
4,C45Rules-C,DT_GA-C,0.002192711006091839
5,C45Rules-C,DT_Oblique-C,0.00010241298403197352
6,C45Rules-C,EACH-C,1.0826780524227422e-10
7,C45Rules-C,GPR,0.031135065519092595
8,C45Rules-C,Hider-C,1.5378368338591654e-05
9,C45Rules-C,NSLV-C,0.06884408320922941
10,C45Rules-C,OCEC-C,0.07134888328577317
11,C45Rules-C,OIGA-C,0.00016334778311892566
12,C45Rules-C,PGIRLA-C,1.8658530774839366e-07
13,C45Rules-C,Ripper-C,0.9700094438098859
14,C45Rules-C,SLAVE2-C,0.019352706657563407
15,C45Rules-C,SLAVEv0-C,0.0005397494849861699
