,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,2.3899953679942823e-10
2,C45RulesSA-C,C45-C,0.037568527564029945
3,C45RulesSA-C,C45Rules-C,0.41158855382590986
4,C45RulesSA-C,DT_GA-C,0.010629582084999376
5,C45RulesSA-C,DT_Oblique-C,0.0009755840990049073
6,C45RulesSA-C,EACH-C,1.710820601721882e-09
7,C45RulesSA-C,GPR,0.07240678579620356
8,C45RulesSA-C,Hider-C,0.00012770468809984262
9,C45RulesSA-C,NSLV-C,0.14982571272882342
10,C45RulesSA-C,OCEC-C,0.09479015669182077
11,C45RulesSA-C,OIGA-C,0.000320626131196665
12,C45RulesSA-C,PGIRLA-C,5.15825740731856e-07
13,C45RulesSA-C,Ripper-C,0.6518751429304643
14,C45RulesSA-C,SLAVE2-C,0.04634083540236247
15,C45RulesSA-C,SLAVEv0-C,0.001474788580369084
