,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,3.6852419907806664e-08
2,DT_GA-C,C45-C,0.13544689783710256
3,DT_GA-C,C45Rules-C,0.002192711006091839
4,DT_GA-C,C45RulesSA-C,0.010629582084999376
5,DT_GA-C,DT_Oblique-C,0.31950470630006833
6,DT_GA-C,EACH-C,9.4355143843931e-07
7,DT_GA-C,GPR,0.35620428528009795
8,DT_GA-C,Hider-C,0.028177841081187326
9,DT_GA-C,NSLV-C,0.12353096801437194
10,DT_GA-C,OCEC-C,0.23461340848388046
11,DT_GA-C,OIGA-C,0.16289459221234526
12,DT_GA-C,PGIRLA-C,0.00025770751667592506
13,DT_GA-C,Ripper-C,0.005048717987666677
14,DT_GA-C,SLAVE2-C,0.5173720909372078
15,DT_GA-C,SLAVEv0-C,0.2492505450678989
