,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,5.477843192373101e-08
2,DT_Oblique-C,C45-C,0.06756130885465031
3,DT_Oblique-C,C45Rules-C,0.00010241298403197352
4,DT_Oblique-C,C45RulesSA-C,0.0009755840990049073
5,DT_Oblique-C,DT_GA-C,0.31950470630006833
6,DT_Oblique-C,EACH-C,8.204465947502239e-07
7,DT_Oblique-C,GPR,0.17762471588997142
8,DT_Oblique-C,Hider-C,0.10631828294949855
9,DT_Oblique-C,NSLV-C,0.01065824210127775
10,DT_Oblique-C,OCEC-C,0.04484488881709734
11,DT_Oblique-C,OIGA-C,0.23665247529660982
12,DT_Oblique-C,PGIRLA-C,0.0008476306745247649
13,DT_Oblique-C,Ripper-C,0.00014949154417513905
14,DT_Oblique-C,SLAVE2-C,0.10108958661230315
15,DT_Oblique-C,SLAVEv0-C,0.7766049282733297
