,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.9011892614792023
2,EACH-C,C45-C,2.4213159445376574e-07
3,EACH-C,C45Rules-C,1.0826780524227422e-10
4,EACH-C,C45RulesSA-C,1.710820601721882e-09
5,EACH-C,DT_GA-C,9.4355143843931e-07
6,EACH-C,DT_Oblique-C,8.204465947502239e-07
7,EACH-C,GPR,1.2458121798475372e-07
8,EACH-C,Hider-C,7.456093644963461e-05
9,EACH-C,NSLV-C,6.23009982369316e-10
10,EACH-C,OCEC-C,7.326334466389928e-08
11,EACH-C,OIGA-C,5.771301122900522e-06
12,EACH-C,PGIRLA-C,0.22703430968631322
13,EACH-C,Ripper-C,7.875409371714477e-12
14,EACH-C,SLAVE2-C,4.984312694895533e-10
15,EACH-C,SLAVEv0-C,2.268702446710431e-07
