,GPR,Algorithm,p-value
1,GPR,1R-C,4.710565746191927e-09
2,GPR,C45-C,0.8708815653579256
3,GPR,C45Rules-C,0.031135065519092595
4,GPR,C45RulesSA-C,0.07240678579620356
5,GPR,DT_GA-C,0.35620428528009795
6,GPR,DT_Oblique-C,0.17762471588997142
7,GPR,EACH-C,1.2458121798475372e-07
8,GPR,Hider-C,0.0047611095091295835
9,GPR,NSLV-C,0.515533923896411
10,GPR,OCEC-C,0.6599567802777941
11,GPR,OIGA-C,0.04380215158715619
12,GPR,PGIRLA-C,0.00024866288317521257
13,GPR,Ripper-C,0.0775423214474729
14,GPR,SLAVE2-C,0.8185974718905982
15,GPR,SLAVEv0-C,0.10434522362518615
