,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,0.0002246947514195234
2,Hider-C,C45-C,0.009058167592701998
3,Hider-C,C45Rules-C,1.5378368338591654e-05
4,Hider-C,C45RulesSA-C,0.00012770468809984262
5,Hider-C,DT_GA-C,0.028177841081187326
6,Hider-C,DT_Oblique-C,0.10631828294949855
7,Hider-C,EACH-C,7.456093644963461e-05
8,Hider-C,GPR,0.0047611095091295835
9,Hider-C,NSLV-C,0.0023810490582193465
10,Hider-C,OCEC-C,0.0021015535568704577
11,Hider-C,OIGA-C,0.9833006578131819
12,Hider-C,PGIRLA-C,0.0069605669333396986
13,Hider-C,Ripper-C,3.861816748038644e-05
14,Hider-C,SLAVE2-C,0.017026981633252055
15,Hider-C,SLAVEv0-C,0.1896282069633397
