,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,2.3109803101544715e-11
2,NSLV-C,C45-C,0.5439164810233095
3,NSLV-C,C45Rules-C,0.06884408320922941
4,NSLV-C,C45RulesSA-C,0.14982571272882342
5,NSLV-C,DT_GA-C,0.12353096801437194
6,NSLV-C,DT_Oblique-C,0.01065824210127775
7,NSLV-C,EACH-C,6.23009982369316e-10
8,NSLV-C,GPR,0.515533923896411
9,NSLV-C,Hider-C,0.0023810490582193465
10,NSLV-C,OCEC-C,0.9745217113232029
11,NSLV-C,OIGA-C,0.0011069663050698856
12,NSLV-C,PGIRLA-C,9.329696940698144e-05
13,NSLV-C,Ripper-C,0.14783603287502725
14,NSLV-C,SLAVE2-C,0.34577013220567343
15,NSLV-C,SLAVEv0-C,0.005295274881927004
