,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,1.4224779235505157e-08
2,OCEC-C,C45-C,0.606433658217453
3,OCEC-C,C45Rules-C,0.07134888328577317
4,OCEC-C,C45RulesSA-C,0.09479015669182077
5,OCEC-C,DT_GA-C,0.23461340848388046
6,OCEC-C,DT_Oblique-C,0.04484488881709734
7,OCEC-C,EACH-C,7.326334466389928e-08
8,OCEC-C,GPR,0.6599567802777941
9,OCEC-C,Hider-C,0.0021015535568704577
10,OCEC-C,NSLV-C,0.9745217113232029
11,OCEC-C,OIGA-C,0.015922525114192034
12,OCEC-C,PGIRLA-C,4.283467105392281e-06
13,OCEC-C,Ripper-C,0.11369361211147336
14,OCEC-C,SLAVE2-C,0.6112615058738706
15,OCEC-C,SLAVEv0-C,0.11830341445249755
