,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,6.942652157871926e-06
2,OIGA-C,C45-C,0.042895984462187835
3,OIGA-C,C45Rules-C,0.00016334778311892566
4,OIGA-C,C45RulesSA-C,0.000320626131196665
5,OIGA-C,DT_GA-C,0.16289459221234526
6,OIGA-C,DT_Oblique-C,0.23665247529660982
7,OIGA-C,EACH-C,5.771301122900522e-06
8,OIGA-C,GPR,0.04380215158715619
9,OIGA-C,Hider-C,0.9833006578131819
10,OIGA-C,NSLV-C,0.0011069663050698856
11,OIGA-C,OCEC-C,0.015922525114192034
12,OIGA-C,PGIRLA-C,0.16462710347532117
13,OIGA-C,Ripper-C,0.0003685886838340255
14,OIGA-C,SLAVE2-C,0.03791551788834332
15,OIGA-C,SLAVEv0-C,0.14851272798316503
