,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.30235349106577836
2,PGIRLA-C,C45-C,0.00010657963220020522
3,PGIRLA-C,C45Rules-C,1.8658530774839366e-07
4,PGIRLA-C,C45RulesSA-C,5.15825740731856e-07
5,PGIRLA-C,DT_GA-C,0.00025770751667592506
6,PGIRLA-C,DT_Oblique-C,0.0008476306745247649
7,PGIRLA-C,EACH-C,0.22703430968631322
8,PGIRLA-C,GPR,0.00024866288317521257
9,PGIRLA-C,Hider-C,0.0069605669333396986
10,PGIRLA-C,NSLV-C,9.329696940698144e-05
11,PGIRLA-C,OCEC-C,4.283467105392281e-06
12,PGIRLA-C,OIGA-C,0.16462710347532117
13,PGIRLA-C,Ripper-C,1.8539007050154818e-07
14,PGIRLA-C,SLAVE2-C,0.0014647557115432114
15,PGIRLA-C,SLAVEv0-C,0.0118095499857235
