,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,6.571079943408456e-12
2,Ripper-C,C45-C,0.034674427924476454
3,Ripper-C,C45Rules-C,0.9700094438098859
4,Ripper-C,C45RulesSA-C,0.6518751429304643
5,Ripper-C,DT_GA-C,0.005048717987666677
6,Ripper-C,DT_Oblique-C,0.00014949154417513905
7,Ripper-C,EACH-C,7.875409371714477e-12
8,Ripper-C,GPR,0.0775423214474729
9,Ripper-C,Hider-C,3.861816748038644e-05
10,Ripper-C,NSLV-C,0.14783603287502725
11,Ripper-C,OCEC-C,0.11369361211147336
12,Ripper-C,OIGA-C,0.0003685886838340255
13,Ripper-C,PGIRLA-C,1.8539007050154818e-07
14,Ripper-C,SLAVE2-C,0.03467548916212449
15,Ripper-C,SLAVEv0-C,0.0007431539311069997
