,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,5.854800680536451e-09
2,SLAVE2-C,C45-C,0.7793597868109708
3,SLAVE2-C,C45Rules-C,0.019352706657563407
4,SLAVE2-C,C45RulesSA-C,0.04634083540236247
5,SLAVE2-C,DT_GA-C,0.5173720909372078
6,SLAVE2-C,DT_Oblique-C,0.10108958661230315
7,SLAVE2-C,EACH-C,4.984312694895533e-10
8,SLAVE2-C,GPR,0.8185974718905982
9,SLAVE2-C,Hider-C,0.017026981633252055
10,SLAVE2-C,NSLV-C,0.34577013220567343
11,SLAVE2-C,OCEC-C,0.6112615058738706
12,SLAVE2-C,OIGA-C,0.03791551788834332
13,SLAVE2-C,PGIRLA-C,0.0014647557115432114
14,SLAVE2-C,Ripper-C,0.03467548916212449
15,SLAVE2-C,SLAVEv0-C,0.1446981232502599
