,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,1.790982109393639e-07
2,SLAVEv0-C,C45-C,0.04500215749875138
3,SLAVEv0-C,C45Rules-C,0.0005397494849861699
4,SLAVEv0-C,C45RulesSA-C,0.001474788580369084
5,SLAVEv0-C,DT_GA-C,0.2492505450678989
6,SLAVEv0-C,DT_Oblique-C,0.7766049282733297
7,SLAVEv0-C,EACH-C,2.268702446710431e-07
8,SLAVEv0-C,GPR,0.10434522362518615
9,SLAVEv0-C,Hider-C,0.1896282069633397
10,SLAVEv0-C,NSLV-C,0.005295274881927004
11,SLAVEv0-C,OCEC-C,0.11830341445249755
12,SLAVEv0-C,OIGA-C,0.14851272798316503
13,SLAVEv0-C,PGIRLA-C,0.0118095499857235
14,SLAVEv0-C,Ripper-C,0.0007431539311069997
15,SLAVEv0-C,SLAVE2-C,0.1446981232502599
